LOCATION,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,POPULATION
"Mallow, Cork",821.5,795.13,714.85,668.16,648.21,648.95,671.01,709.33,760.88,784.86,857.94,117376
Donegal,668.79,636.23,586.76,552.34,533.86,522.76,525.62,541.88,560.61,578.18,595.91,29971
"Letterkenny, Donegal",694.69,647.88,616.54,575.83,545.84,548.89,567.57,589.31,604.65,632.04,653.05,63138
Dublin,1834.17,1706.77,1564.15,1559.61,1570.19,1577.48,1682,1794.79,1896.63,2029.25,2159.95,24267
Dublin 15,1557.66,1457.93,1347.93,1295.66,1225.97,1271.86,1331.65,1501.04,1649.23,1683.96,1676.17,17296
Dublin 18,2229.17,2080.33,1940.73,1882.26,1975.24,2047.53,2166.06,2336.14,2375.32,2445.9,2581.43,93135
Galway,940.03,867.47,795.85,772.36,775.25,779.02,799.44,842.93,895.37,945.97,997,20468
Galway City,1100.37,996.16,930.84,907,908.64,943.26,972.7,1005.93,1102.93,1190.21,1249.75,45912
"Ballinasloe, Galway",703.29,633.11,558.66,526.98,518.84,537.67,546.96,554.59,614.11,665.71,730.81,16295
"Oranmore, Galway",996.11,945.07,889.39,879.76,836.41,839.73,889.1,948.65,978.33,1049.53,1094.77,99766
"Tuam, Galway",868.02,776.65,631.06,587.15,556.46,574.31,655.17,669.51,675.67,734.24,828.91,10996
Kerry,769.41,705.67,645.02,627.42,615.87,601.76,609.11,636.05,661.78,689.11,733.93,82495
"Killarney, Kerry",869.03,765.64,669.09,664.74,679.85,683.99,683.61,709.06,730,763.82,805.51,83220
"Tralee, Kerry",778.33,732.36,691.38,664.7,649.27,646.52,651.21,675.38,702.85,725.31,765.08,37969
Kildare,1271.88,1148.1,1034.67,1001.03,985.68,1004.11,1067.17,1161.75,1250.16,1304.19,1360.65,30793
"Naas, Kildare",1312.13,1171.78,1018.07,997.65,1018.1,1031.81,1124.43,1242.09,1344.48,1411.38,1435.41,14827
"Newbridge, Kildare",1255.12,1134.23,1025.89,986.84,949.32,960.94,1026.67,1146.94,1252.33,1284.18,1308.83,45663
Kilkenny,851.16,827.94,751.11,695.7,686.75,688.41,688.5,723.91,786.18,814.75,874.7,75066
Laois,804.24,730,653.58,627.16,623.35,618.13,645.9,701.61,753.11,815.01,909.25,29187
"Portlaoise, Laois",801.09,728.87,656.92,631.22,628,619.49,650.82,722.16,787.75,843.77,925.64,32305
Leitrim,614.79,564.81,507.65,476.7,454.95,452.03,470.8,494.52,523.93,548.83,585.9,54683
"Carrick-On-Shannon, Leitrim",646.86,601.25,533.43,509.55,482.48,485.64,525.82,555.41,592.03,620.53,644.19,53042
Limerick,894.51,840.61,754.83,758.29,773.25,773.24,756.67,790.45,839.42,915.93,1020.44,47312
Limerick City,966.53,911.64,802.64,792.36,786.23,837.4,793.32,816.77,850.53,971.58,1154.66,45363
Louth,1040.2,936.32,852.36,821.94,782.96,769.69,824.68,891.42,968.39,1067.63,1120.9,161335
"Drogheda, Louth",1117.94,1010.37,904.58,854.04,820.56,827.99,882.09,1000.19,1101.39,1195.05,1215.41,57205
Mayo,740.63,694.96,646.35,618.54,603.45,595.02,587.66,593.33,620.99,651.03,682.6,70272
"Castlebar, Mayo",776.04,742.97,668.41,653.96,624.44,602.26,592.33,612.02,660.67,705.07,750.19,17885
"Westport, Mayo",891.11,825.8,736.22,705.08,702.19,723.84,704.55,694.92,742.37,809.21,815.81,52387
Meath,1106.15,990.86,900.15,860.28,832.34,846.86,897.5,982.98,1062.73,1139.45,1209.07,59290
"Navan, Meath",1078.91,943.93,835.49,808.32,776.91,777.81,815.72,902.96,986.29,1073.99,1178.91,27028
Monaghan,676.64,632.58,600,588.37,579.28,587.14,579.57,571.21,584.1,628.82,668.77,32262
Offaly,737.01,709.7,656.58,644.59,627.59,607.2,600.02,637.47,677.95,714.03,755.39,41927
"Tullamore, Offaly",762.54,730.47,676.68,657.21,636.4,638.7,624.31,661.02,724.75,749.76,803.11,15862
Roscommon,681.53,600.67,560.11,547.13,525.7,515.13,522.34,529.79,561.94,606.46,656.08,26065
Tipperary,778.8,750.88,711.48,688.38,656.06,650.6,648.88,664.07,680.17,713.83,736.49,94456
"Clonmel, Tipperary",853.1,792.1,762.87,754.26,738.5,747.56,761.74,753.79,779.66,815.4,819.06,23418
"Nenagh, Tipperary",747.48,702.08,680.43,665.75,608.74,597.41,607.89,625.29,635.25,668.03,733.9,71038
Waterford,821.69,804.94,750.62,723.12,724.39,709.86,738.73,753.33,766.95,837.75,871.43,12316
Waterford City,910.04,868.44,782.84,751.13,733.57,722.55,779.16,789.81,818.68,883.49,915.73,50586
Westmeath,810.41,744.88,679.77,654.09,653.38,640.52,658.19,680.95,719.15,792.22,836.79,25192
"Athlone, Westmeath",830.97,782.91,731.97,689.81,699.41,682.47,685.13,719.89,771.49,861.17,859.02,24225
"Mullingar, Westmeath",794.84,740.07,660.53,643.84,649.45,648.66,676.16,697.02,729.6,806.13,845.06,113974
Wexford,809.21,759.54,707.59,684.6,663.15,647.76,651.12,689.3,725.58,766.93,823.55,28991
"Gorey, Wexford",830.18,770.91,715.81,694.94,672.5,655.01,664.13,741.09,775.11,835.75,937.34,61272
Wicklow,1221.47,1172.9,1100.29,1061.32,1029.71,1028.13,1050.59,1117.48,1198.79,1228.79,1310.28,23711
"Arklow, Wicklow",933.38,908.05,822.67,790.07,757.9,757.16,778.7,794.06,855.18,921.3,983.31,1784
Carlow,733.25,724.29,687.46,671.62,661.42,638.9,635.14,659.74,694.12,748.61,761.75,928
Cavan,598.6,566.03,533.04,500.53,483.32,480.78,479.84,494.62,534.49,567.7,593.54,2971
Clare,719.33,675.85,616.29,581.53,565.56,555.84,550.19,553.16,593.25,635.17,656.02,4004
"Ennis, Clare",763.18,720.82,651.6,616.68,604.21,580.66,572.05,580.49,640.69,693.75,715.49,1595
Cork,900.37,845.38,782.03,752.1,735.29,732.88,759.62,794.81,823.47,872.45,924.28,2014
Cork City,1059.49,975.68,908.98,894.23,874.78,855.81,910.93,957.31,993.47,1073.55,1137.53,3834
"Ballincollig, Cork",1067.56,930.39,889.69,914.22,922.87,894.63,974.95,1064.75,1084.71,1175.42,1221.77,3574
"Bandon, Cork",866.36,798.91,770.72,734.25,718.35,706.65,692.2,716.75,750.98,818.08,866.65,28230
"Bantry, Cork",616.34,620.93,627.09,588.71,582.97,579.04,592.83,582.66,576.94,620.06,701.06,2674
"Bishopstown, Cork",1138.76,1023.93,967.35,1024.66,1081.92,1049.27,1098.69,1109.94,1137.08,1273.58,1326.37,12041
"Carrigaline, Cork",953.28,913.01,843.51,794.96,776.83,825.2,890.74,953.44,985.64,1033.42,1079.78,14405
"Douglas, Cork",1105.09,1048.28,964.86,987.79,989.38,965.4,1031.59,1146.29,1215.99,1293.75,1385.34,166132
"Fermoy, Cork",776.86,707.66,653.88,627.58,602.5,637.88,642.8,640.74,662.42,706.29,751.05,76098
"Kinsale, Cork",1028.02,1050.53,1047.6,987.28,885.9,813.27,873.71,994.77,1055.24,1160.63,1142.99,79444
"Macroom, Cork",764.44,711.4,627.78,628.82,612.1,578.66,575.1,625.65,698.35,695.32,698.12,57149
"Mallow, Cork",696.42,677.59,637.24,603.41,588,587.64,600.32,617.22,670.73,716.39,775.98,57985
"Midleton, Cork",937.66,877.26,802.74,782.22,756.97,786.1,796.73,855,888.75,904.2,987.32,24426
"Youghal, Cork",759.1,712.29,633.13,584.53,575.6,597.49,608.7,651.94,706.63,760.71,798.85,21485
Donegal,610.32,578.56,536.57,508.86,492.06,475.19,473.09,485.99,501.32,522.09,541.39,9947
"Letterkenny, Donegal",638.27,611.38,581.28,532.43,509.11,507.67,527.49,538.64,551.54,580.17,602.14,33737
Dublin,1649.22,1525.56,1381.55,1345.8,1367.85,1375.88,1460.78,1564.95,1662.51,1744.74,1847.25,49372
"Blackrock, Dublin",2304.89,2001.84,1734.06,1758.88,1781.4,1827.11,2008.82,2096.82,2114.37,2297.24,2431.09,19419
"Killiney, Dublin",1803.56,1789.06,1564.65,1399.9,1508.33,1634.46,1840.65,1765.19,1756.7,1991.38,2166.37,22668
"Lucan, Dublin",1426.95,1268.68,1161.95,1181.34,1176.56,1154.87,1155.65,1194.27,1299.52,1419.7,1553.36,37526
Dublin 4,2048.16,1957.25,1779.78,1730.9,1808.75,1886.28,1718.14,1853.04,1891.69,1903.4,2356.55,36203
Dublin 6,1638.88,1685.98,1582.8,1463.86,1395.51,1534.99,1558.65,1696.27,1865.83,1915.72,1995.93,29012
Dublin 9,1625.37,1407.89,1177.41,1171.04,1223.94,1205.83,1249.01,1406.28,1505.06,1596.53,1701.73,140014
Dublin 13,1694.57,1516.49,1321.67,1301.87,1282,1313.12,1334.71,1586.81,1643.73,1736.96,1700.35,36107
Dublin 14,1797.89,1725.57,1655.49,1595.34,1573.32,1666.58,1869.65,1982.45,2046.84,2192.61,2315.91,103907
Dublin 15,1390.14,1311.55,1204.57,1140.3,1097.63,1147.75,1185.94,1297.32,1457.67,1506.72,1486.6,35296
Dublin 16,1703.52,1573.81,1380.85,1287.51,1323.99,1461.93,1526.31,1542.82,1664.53,1757.3,1978.42,49935
Dublin 18,2041.89,1880.79,1738.13,1732.37,1785.61,1825.23,1942.14,2053.56,2141.71,2276.07,2370.19,16310
Dublin 24,1187.46,1112.45,1043.07,986.61,986.28,1047.25,1127.91,1218.41,1252.8,1284.74,1405.14,33625
"Tallaght, Dublin 24",1171.77,1075.77,999.74,972.19,981.32,1000.73,1049.97,1098.41,1166.78,1216.38,1386,38717
Galway,858.57,794.69,731.88,699.33,705.69,702.05,717.79,751.72,794.68,849.86,896.92,17257
Galway City,1011.24,922.17,864.06,820.03,831.74,856.17,879.84,900.07,983.03,1086.2,1146.95,21460
"Athenry, Galway",753.51,716.02,626.03,585.48,606.33,628.99,627.9,640.61,703.58,790.7,852.44,29220
"Ballinasloe, Galway",680.28,592.39,531.47,505.35,506.22,492.6,497.57,512.6,553.17,589.26,642.29,12848
"Gort, Galway",665.92,621.62,562.71,510.58,511.64,519.23,538.18,537.92,577.28,663.54,764.13,16372
"Headford, Galway",915.25,798.64,660.62,648.71,697.32,702.32,728.59,719.06,806.75,854.52,951.78,136574
"Loughrea, Galway",659.45,592.86,526.12,524.8,518.45,507.59,525.69,613.21,650.98,692.89,748.97,67272
"Oranmore, Galway",873.93,840.35,808.35,791.35,755.35,764.42,816.03,865.33,876.68,945.96,1005.54,24524
"Tuam, Galway",811.37,738.99,601.2,563.22,544.74,540.23,596.25,619.43,636.3,696.56,748.57,42748
Kerry,706.62,654.24,602.54,574.65,560.54,556.12,561.1,581.52,605.27,637.29,677.65,7376
"Killarney, Kerry",802.87,709.05,633.85,621.65,617.55,621.3,627.11,648.46,670.53,703.92,759.04,30616
"Listowel, Kerry",625.46,597.14,549.45,531.84,502.96,499.55,500.92,516.47,529.03,549.25,579.99,14779
"Tralee, Kerry",728.56,693.86,647.35,617.48,603.37,602.62,606.49,619.92,649.3,684.75,721.86,16531
Kildare,1145.96,1043.54,934.6,882.96,872.07,885.7,932.53,1007.51,1094.86,1153.69,1209.54,71870
"Celbridge, Kildare",1292.56,1134.54,1047.73,1057.76,1052.63,1104.2,1164.12,1189.28,1238,1283.66,1378.1,18461
"Naas, Kildare",1222.48,1082.06,939.35,906.88,905.45,918.88,1001.1,1101.04,1190.68,1270.86,1318.21,38757
"Newbridge, Kildare",1145.18,1030.64,934.3,890.63,859.73,869.82,911.55,1022.63,1146.01,1187.1,1212.37,14652
"Portlaoise, Laois",770.14,689.08,609.9,585.85,589.18,590.67,614.38,662.78,733.69,804.83,861.53,10558
"Carrick-On-Shannon, Leitrim",618.17,579.77,500.32,475.36,458.03,465.08,496.14,504.29,545.01,570.47,583.8,83534
Limerick,795.61,743.87,680.67,665.94,665.12,675.96,664.64,685.62,728.4,781.15,851.6,51580
Limerick City,916.29,838.17,736.34,704.24,695.66,748.3,719.72,727.37,757.83,834.5,967,56872
"Castletroy, Limerick",849.19,826.62,833.5,844.23,881.75,896.19,866.7,1009.05,1117.02,1196.42,1339.31,43040
Louth,933.78,846.08,766.71,734.45,707.38,703.14,741.63,784.95,847.7,941.16,1015.19,19614
"Drogheda, Louth",1020.7,919.95,819.65,779.2,747.17,751.45,791.71,875.38,979.55,1083.86,1140.77,15866
"Dundalk, Louth",786.32,741.76,737.61,725.82,694.2,679.31,720.88,718.94,767.13,847.36,931.45,7657
Mayo,684.1,651.79,595.06,567.98,551.26,543.94,541.84,540.1,561.79,590.6,615.87,23694
"Ballina, Mayo",643.53,642.11,600.91,571.83,562.32,563,567.74,573.33,574.04,593.37,602.61,38873
"Castlebar, Mayo",712.35,684.53,621.58,606.91,580.44,560.47,554.63,563.34,588.94,611.64,661.71,15011
"Claremorris, Mayo",627.43,594.51,563.79,540.31,505.75,496.31,520.34,499.42,513.7,543.65,552,16727
"Westport, Mayo",804.72,772.53,695.76,667,652.45,640.85,637.13,635.49,673.7,717.72,748.47,28649
Meath,1004.47,889.59,797.37,761.36,746.46,761.35,791.66,858.54,938.16,1012.43,1074.77,27679
"Trim, Meath",876.14,827.04,745.11,745.31,734.03,728.21,753.13,813.2,862.68,928.52,1031.64,23602
Monaghan,623,583.21,544.04,528.31,516.73,519.13,519.4,523.14,541.79,585.61,611.85,103060
Offaly,690.51,654.02,596.16,575.43,559.76,543.28,541.18,570.26,591.59,635.22,672.06,19464
"Tullamore, Offaly",727.38,670.52,617.24,602.08,577.91,569.73,567.07,599.51,638.34,680.05,723.16,83596
Roscommon,641.04,570.88,531.77,512.2,484.37,475.13,481.61,486.53,519.62,553.44,592.1,29775
Sligo,696.09,646.49,631.24,616.51,596.89,587.96,592.48,590.85,616.35,656.61,687.92,36163
Tipperary,700.05,668.83,628.93,608.37,586.97,575.18,572.85,582.55,601.38,625.47,657.22,9182
"Cahir, Tipperary",743.99,672.08,609.52,595,565.93,603.68,547.71,549.25,567.29,597.41,649.68,26981
"Cashel, Tipperary",688.16,607.51,572.83,582.23,557.92,536.19,531.38,535.89,540.2,571.46,608.66,30659
"Clonmel, Tipperary",759.57,722.46,684.36,676.84,659.66,650.4,659.95,662.22,695.38,731.73,732.88,13973
"Nenagh, Tipperary",701.29,669.4,612.18,585.73,568.89,550.89,544.96,571.41,594.47,608.77,667.28,16686
"Thurles, Tipperary",654.59,623.92,588.83,565.92,564.63,550.96,539.28,530.71,557.77,589.45,619.01,21866
Waterford,736.29,728.39,682.27,639.02,634.64,611.93,631.39,641.71,650.75,719.02,770.73,8237
Waterford City,855.82,805.51,722.82,688.58,674.77,657.39,673.72,685.52,727.83,795.17,836.06,13629
"Dungarvan, Waterford",669.63,641.44,612.56,612.29,600.87,582.8,622.58,609.59,630.56,731.74,792.53,107016
Westmeath,717.18,660.79,603.29,576.87,568.97,559.43,570.32,596.26,637.45,687.42,729.65,48743
"Athlone, Westmeath",761.69,719.01,663.6,638.68,631.81,602.83,614.68,666.94,716.18,775.05,779.81,12120
