LOCATION,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,POPULATION
Dublin 3,1720.93,1594.95,1492.95,1416.3,1360.21,1507.91,1584.81,1621.27,1735.79,1962.01,1811.07,2183
Dublin 4,2321.37,2182.37,2113.24,2064.06,2041.54,2070.09,2167.33,2341.42,2408.09,2515.18,2662.01,17024
Dublin 5,1566.02,1389.53,1195.36,1201.82,1241.67,1252.96,1333.11,1451.09,1574.43,1683.32,1839.82,1577
Dublin 6,1963.05,1854.07,1723.48,1719.33,1784.37,1867.55,1923.74,1981.72,2138.77,2293.69,2366.15,6639
Dublin 6W,1853.66,1625.34,1469.06,1459.28,1448.2,1537.6,1648.57,1833.59,1812.07,1869.9,1988.66,1916
"Terenure, Dublin 6W",1949.47,1707.32,1561.35,1564.49,1533.33,1589.84,1739.62,1906.75,1928.14,2027.19,2116.83,4723
Dublin 7,1455.57,1388.18,1284.8,1262.95,1339.78,1397.46,1445.45,1545.12,1574.02,1626.63,1538.15,1863
Dublin 9,1520.04,1423.96,1312.83,1272.79,1304.65,1359.19,1473.61,1557.8,1688.08,1733.59,1839.84,2737
"Drumcondra, Dublin 9",1650.68,1478.52,1384.34,1385.21,1446.4,1483.43,1534.03,1626.66,1771.06,1827.45,1952.98,1098
Dublin 11,1557.18,1357.04,1157.6,1141.74,1200.04,1211.07,1320.95,1360.51,1558.48,1712.61,1680.39,1639
Dublin 12,1513.3,1345.98,1194.48,1232.13,1271.92,1298.44,1355.76,1393.46,1573.97,1798.8,1756.26,2416
Dublin 13,1513.1,1406.55,1333.62,1364.04,1298.33,1336.09,1518.26,1731.04,1861.11,1916.58,2011.45,1021
Dublin 14,1879.05,1758.41,1632.1,1595.9,1641.82,1762.3,1841.28,1930.43,2106.37,2262.29,2349.63,1395
"Clonskeagh, Dublin 14",2137.1,1999.87,1827.02,1732.02,1865.57,2005.83,2114.44,2172.96,2380.14,2572.34,2693.27,1792
"Rathfarnham, Dublin 14",1638.2,1515,1447.78,1444.86,1444.17,1512.86,1601.46,1728.18,1839.58,1963.44,2100.85,887
Dublin 15,1409.03,1288.52,1171.97,1130.78,1115.87,1137.1,1209.26,1317.17,1418.68,1479.15,1621.04,905
"Castleknock, Dublin 15",1466.04,1358.34,1256.69,1200.57,1180.11,1187.17,1289.38,1432.91,1534.38,1630.02,1777.89,6630
"Clonee, Dublin 15",1323.67,1222.62,1146.01,1115.01,1085.41,1095.3,1160.71,1227.27,1339.02,1381.46,1492.62,2957
"Clonsilla, Dublin 15",1418.05,1285.53,1144.31,1102.52,1113.16,1137.84,1188.04,1304.89,1381.37,1437.94,1590.82,1015
Dublin 16,1673.58,1515.88,1351.01,1315.26,1346.72,1457.3,1541.53,1680.32,1844.53,1877.55,1944.27,1942
"Knocklyon, Dublin 16",1527.14,1415.65,1208.75,1186.89,1243.47,1329.38,1421.98,1508.28,1646,1794.61,1927.08,401
"Rathfarnham, Dublin 16",1681.59,1515.16,1334.6,1331.07,1335.7,1482.5,1603.16,1649.94,1795.13,1837.2,1923.7,1629
Dublin 18,1892.38,1695.42,1570.16,1476.33,1556.65,1649.5,1732.14,1877.37,2030.95,2086.37,2220.31,780
Dublin 24,1458.87,1318.15,1168.92,1105.79,1093.19,1134.7,1236.5,1308.16,1431.91,1542.95,1578.82,863
"Tallaght, Dublin 24",1460.46,1330.48,1156.03,1078.51,1070.98,1115.85,1208.06,1275.18,1392.44,1523.17,1564.14,3849
Galway,977.4,905.28,845.7,839.69,856.81,847.91,887.45,934.26,980.54,1046.6,1125.51,869
Galway City,1070.81,996.68,943.96,947.87,962.98,948.15,999.3,1046.45,1104.44,1177.45,1253.19,2232
"Athenry, Galway",752.85,673.68,613.8,610,594.24,621.23,644.74,699.36,755.72,811.78,908.36,748
"Knocknacarra, Galway",947.82,910.37,824.3,805.61,820.22,843.4,881.4,925.45,1045.01,1104.72,1137.58,34583
"Loughrea, Galway",663.83,589.6,533.73,516.42,516.18,516.76,520.55,581.96,670.55,746.85,810.96,19869
"Newcastle, Galway",1194.46,1132.58,1115.99,1045.89,1135.54,1138.08,1294.77,1302.95,1376.78,1348.3,1569.53,403
"Rahoon, Galway",1045.72,945.7,871.08,835.76,851.42,866.77,888.27,927.7,1004.8,1051.65,1209.33,9868
"Renmore, Galway",1005.38,958.37,871.58,848.72,812.79,817.23,920.37,950.21,1051.69,1250.88,1333.79,3551
"Tuam, Galway",671.21,618.19,559.3,538.09,528.91,544.33,554.31,571.73,615.8,706.46,794.53,1986
Kerry,807.76,746.69,664.16,622.9,618.41,603.11,621.31,641.77,677.94,700.69,744.02,2492
"Killarney, Kerry",889.89,831.77,749.06,696.82,659.04,674.81,707.36,761.32,791.58,830.04,859.75,1839
"Tralee, Kerry",764.76,704.39,629.1,605.69,661.59,592.28,594.72,587.36,634.47,621.14,659.7,1711
Kildare,1198.67,1078.09,965.38,942.59,930.1,931.59,1002.77,1093.89,1163.85,1243.5,1295.13,706
"Celbridge, Kildare",1269.7,1184.68,1102.39,1030.95,1014.69,1036.68,1144.39,1244.82,1318.45,1363.78,1350.47,630
"Leixlip, Kildare",1273.23,1165.17,1049.41,1032.43,1024.37,1019.15,1118.18,1227.67,1262.87,1335.54,1369.27,308
"Maynooth, Kildare",1265.08,1164.15,1075.74,1084.45,1077.9,1056.9,1163.86,1310.21,1335.55,1430.55,1508.62,919
"Naas, Kildare",1192.78,1074.5,966.02,922.03,909.6,917.71,1022.75,1101.09,1205.48,1331.25,1379.34,1495
"Newbridge, Kildare",1166.76,1058,915.23,859.48,869.78,871.95,892.63,987.53,1086.14,1135.27,1164.97,485
Kilkenny,886.94,805.13,739.7,689.61,666.76,691.8,700.64,743.66,803.81,828.92,879.95,618
Kilkenny City,858.95,801.78,764.23,714.84,709.55,721.62,715.33,795.23,880.4,893.04,905.18,1386
Laois,762.82,703.42,625.56,597.8,593.08,590.52,602.96,654,742.3,807.98,854.33,1340
"Portlaoise, Laois",795.24,716.59,629.38,602.35,605.25,609.74,635.57,685.13,776.58,850.19,905.55,9144
Leitrim,588.35,537.42,489.99,462.07,446.44,439.28,445.58,460.52,513.85,553.91,553.31,965
Limerick,895.38,866.9,805.57,798.99,796.94,799.68,829.75,867.81,944.91,1016.85,1135.89,3783
Limerick City,915.38,881.29,825.59,801.93,799.26,800.54,833.89,865.87,933.76,999.7,1169.72,660
"Castletroy, Limerick",909.05,903.84,901.49,961.89,925.74,933.11,994.37,1027.41,1110.6,1184.39,1349.93,3123
"Dooradoyle, Limerick",934.39,866.05,789.33,766.37,750.85,749.29,767.59,811.47,925.1,1013.44,1026.1,1159
"Raheen, Limerick",927.99,832.01,734.47,728.79,725.17,691.02,721.21,765.59,854.79,934.62,1019.83,1183
Louth,984.52,896.47,833.5,778.53,750.14,735.51,751.02,809.7,908.74,988.02,1050.72,820
"Drogheda, Louth",1028.08,926.17,814.24,781.34,759.2,758.63,788.84,857.6,984.25,1112.06,1149.98,1096
"Dundalk, Louth",935.83,868.56,879.91,803.44,759.66,731.24,742.1,798.16,899.16,953.12,993.52,483
Mayo,701.78,665.49,624.26,602.77,575.6,552.37,552.77,561.03,580.87,609.95,644.72,613
"Ballina, Mayo",683.48,649.98,629.07,625.71,603.11,585.23,588,591.57,604.55,613.19,634.37,958
"Castlebar, Mayo",737.97,685.55,636.78,599.8,558.16,548.29,559.96,569.45,604.1,655.21,713.59,361
Meath,1026.27,919.36,816.83,768.52,759.56,765.56,798.31,888.01,1008.8,1108.75,1178.72,597
"Kells, Meath",801.41,745.39,651.43,602.02,593.85,600.46,624.95,665.36,730.87,826.35,917.45,3766
"Navan, Meath",956.72,845.78,761.33,724.76,714.08,719.57,737.17,826.36,950.35,1040.05,1134.25,1631
Monaghan,732.76,660.25,605.36,589.42,582.55,569.52,571.77,577.23,616.29,646.66,689.18,463
Offaly,796.8,720.47,666.87,623.53,601.95,602.88,615.27,650.71,702.74,756.8,793,1168
"Tullamore, Offaly",809.39,725.11,664.89,630.42,605.84,606.82,619.62,661.57,706.87,762.2,829.22,285
Roscommon,661.29,622.73,574.89,549.42,516.84,507.71,512.52,528.44,562.82,588.84,628.04,950
Sligo,727.58,674.86,618.07,607.73,609.57,620.81,629.35,676.71,667.53,700.24,791.45,480
Tipperary,763.36,709.2,665.41,638.31,631.59,613.96,618.75,640.87,667.95,689.53,719.92,420
"Clonmel, Tipperary",855.07,787.79,746.8,707.58,689.84,676.82,694.5,715.46,718.36,757.37,815.62,1804
"Nenagh, Tipperary",751.54,693.21,632.22,621.85,592.83,583.1,590.71,610.39,666.18,673.9,724.29,519
Waterford,782.7,778.14,720.99,689.64,689.45,693.56,703.61,716.99,763.34,829.57,893.82,1011
Waterford City,817.42,812.16,727.71,704.55,707.66,714.67,738.67,761.29,801.64,876.41,943.83,274
Westmeath,754.2,698.21,648.11,617.58,605.08,602.26,608.55,647.24,701.15,750.83,806.1,51615
"Athlone, Westmeath",741.91,711.29,674.36,637.7,627.77,605.79,606.48,642.9,689.99,743.85,814.98,28749
"Mullingar, Westmeath",765.2,696.58,654.18,626.46,606.74,607.96,625.22,668.05,712.69,748.84,800.16,696
Wexford,786.01,741.76,689.07,659.41,645.24,627.13,625.81,659.69,688.97,735.12,798.19,13462
"Gorey, Wexford",815.98,745.34,680.63,652.45,642.17,627.77,628.83,681.34,724.57,823.46,885.81,6332
Wicklow,1338.75,1201.46,1100.2,1074.35,1060.9,1061.33,1125.46,1191.6,1243.08,1414.91,1526.64,2548
"Bray, Wicklow",1565.71,1429.44,1242.97,1189.92,1182.74,1208.29,1279.71,1382.44,1466.4,1579,1640.01,2707
Carlow,756.22,708.72,662.78,632.38,621.97,611.03,620.75,641.56,678.84,716.73,757.12,1875
"Graiguecullen, Carlow",783.81,735.34,682.05,656.97,632.25,627.15,630.17,639.09,677.5,750.26,794.74,2285
"Tullow, Carlow",744.13,684.23,630.66,604.31,578.12,570.34,576.11,593.81,631.76,672.68,695.5,1109
Cavan,591.43,547.15,500.2,473.02,464.95,458.59,462.37,484.57,526.91,575.03,611.16,1075
"Ballyjamesduff, Cavan",609.84,568.21,533.77,502.96,478.2,488.79,504.93,499.55,524.75,628.06,657.47,559
"Kingscourt, Cavan",673.76,619.35,514.66,470.54,484.22,483.59,501.79,509.57,569.11,624.07,670.54,1615
Clare,725.89,662,605.39,570.3,548.51,534.73,531.67,559.87,602.86,642.86,693.76,2146
"Ennis, Clare",736.53,671.93,614.94,580.54,550.5,530.53,533.56,565.95,620.17,669.03,711.2,958
"Shannon, Clare",791.09,716.38,632.39,592.31,590.45,613.69,592.31,635.14,633.43,687.96,753.88,1135
Cork,921.89,849.43,784.29,749.77,748.87,756.43,779.6,834.15,893.75,946.16,995.85,2000
Cork City,1037.73,928.05,872.91,844.4,855.37,868.89,895.47,954.29,1029.54,1103.86,1149.33,1709
"Ballincollig, Cork",983.47,912.39,836.37,820.18,820.25,829.69,858.25,941.34,1034.31,1082.92,1162.55,13911
"Bandon, Cork",848.89,767.55,724.27,701.34,685.68,688.87,693.94,736.97,791.91,809.03,859.37,1408
"Bantry, Cork",668.84,637.13,615.35,605.58,531.83,527.59,524.12,533.58,570.08,612.77,673.63,5288
"Bishopstown, Cork",1099.1,1010.31,949.94,932.17,913.12,950.14,1039.13,1062.75,1181.59,1234.69,1199.47,1351
"Blackrock, Cork",1095.16,1030.1,932.95,883.66,901.66,938.63,929.09,1003.7,1132.3,1200.33,1277.51,3937
"Blarney, Cork",909.89,859.76,773.47,739.83,727.6,740.67,772.65,813.74,862.8,921.97,952.4,1579
"Carrigaline, Cork",932.09,863.43,799.21,767.44,767.4,776.31,797.26,845.38,934.77,1011.21,1054.97,2165
"Carrigtwohill, Cork",885.58,811.8,783.79,761.35,740.26,746.83,760.57,795.48,844.75,879.74,953.19,820
"Charleville, Cork",719,664.19,607.36,585.4,558.55,550.06,558.78,580.68,621.77,664.08,687.43,1345
"Clonakilty, Cork",808.47,751.03,647.85,616.45,637.57,630.32,639.52,667.28,668.57,714.21,763,2015
"Cobh, Cork",830.05,794.4,741.99,697.83,688.93,693.99,705.22,728.21,761.46,837.77,921.06,902
"Douglas, Cork",1074.13,972.34,886.72,851.24,868.43,894.83,926.63,1005.12,1102.34,1139.03,1190.7,1113
"Fermoy, Cork",765.22,707.81,653.81,629.66,594.49,581.94,609.72,653.69,703.33,749.23,826.85,1456
"Frankfield, Cork",1108.74,1013.87,901.63,889.29,905.65,898.61,950.98,1036.58,1093.69,1153.83,1200.47,670
"Glanmire, Cork",995.28,897.02,816.92,793.01,793.66,821.22,857.61,901.17,960.91,1063.48,1129.42,786
"Kanturk, Cork",670.62,604.01,531.6,503.94,459.31,471.25,486.23,521.92,545.96,602.13,704.56,5744
"Kinsale, Cork",958.8,922.24,895.43,859.67,829.71,822.55,854.09,926.81,992.34,1048.8,1122.25,2436
"Macroom, Cork",745.15,684.81,639.47,615.59,581.04,591.11,609.15,655.45,676.89,695.7,748.45,685
"Mallow, Cork",778.04,728.79,661,623.73,604.11,605.75,620.67,653.57,724.99,785.66,837.16,1751
"Midleton, Cork",903.83,825.85,747.48,721.05,715.59,709.61,722.82,758.21,834.03,896.99,951.11,373
"Mitchelstown, Cork",672.09,650.08,613.04,604.52,592.54,575.11,564.67,601.53,659.27,698.15,711.74,1409
"Rochestown, Cork",1082.81,1006.64,902.43,877.29,916.88,943.97,1004.6,1094.28,1186.16,1271.26,1326.47,771
"Skibbereen, Cork",657.22,635.14,575.41,532.7,529.03,531.39,532.66,556,568.52,589.77,641.18,755
"Wilton, Cork",1072.63,943.72,862.81,863.15,861.26,887.9,909.76,1008.15,1063.63,1113.05,1151.58,3211
"Youghal, Cork",745.46,688.22,625.81,587.61,579.92,568.19,569.6,597.92,642.75,722.35,795.89,802
Donegal,602.51,569.35,535.42,498.3,468.46,456.42,462.39,476.59,507.38,534.21,560.67,1769
Donegal Town,673.41,577.01,512.66,497.31,477.46,470.52,466.95,472.57,507.79,545.97,539.08,640
"Letterkenny, Donegal",616.97,583.1,550.82,515.96,482.71,467.72,480.85,500.51,546.31,577.95,607.14,20172
"Blackrock, Dublin",1752.79,1547.57,1415.23,1427.69,1480.22,1560.72,1667.54,1802.83,1911.08,2063.53,2171.91,94208
"Booterstown, Dublin",1894.39,1709.52,1632.92,1611.45,1634.89,1756.94,1856.06,1972.82,1997.55,2248.25,2476.86,69818
"Donabate, Dublin",1272.77,1152.57,1033.52,1015.6,1023.84,1046.99,1102.37,1229.57,1336.4,1382.34,1458.44,56705
"Dun Laoghaire, Dublin",1622.98,1422.24,1274.27,1241.98,1285.75,1368.81,1538.12,1624.76,1595.1,1742.46,1940.04,35861
"Killiney, Dublin",1557.89,1397.03,1260.52,1235.14,1182.63,1253.31,1411.64,1540.82,1677.65,1864.31,1942.67,25753
"Lucan, Dublin",1252.45,1156.89,1047.42,1016.66,1023.14,1038.36,1084.56,1168.54,1256.65,1332.84,1471.46,15343
"Lusk, Dublin",1136.55,1070.1,981.13,951.93,940.87,928.75,1030.87,1098.34,1176.4,1236.79,1305.55,46280
"Malahide, Dublin",1536.31,1442.36,1349.84,1317.97,1311.94,1365.98,1406.82,1526.91,1625.79,1776.41,1919.57,50950
"Monkstown, Dublin",1384.19,1258.23,1112.31,1189.39,1333.9,1284.72,1266.27,1431.54,1625.73,1641.69,1760,29016
"Rush, Dublin",1133.23,1058.5,969.94,903.4,894.79,896.3,949.07,1028.54,1037.23,1094.53,1249.09,31331
"Saggart, Dublin",1320.12,1238.76,1095.3,1035.74,1059.02,1086.36,1144.19,1199.34,1241.04,1286.16,1332.98,50770
"Shankill, Dublin",1428.86,1319.5,1198.94,1197.05,1197.24,1217.6,1293.07,1373.03,1483.03,1586.82,1706.95,47562
"Stillorgan, Dublin",1693.01,1517.3,1401.92,1409.8,1436.71,1504.19,1604.53,1673.74,1799.61,2003.94,2112.24,44431
Dublin 3,1402.59,1287.93,1150.07,1134.18,1163.66,1223.99,1295.58,1385.42,1470.06,1583.98,1682.14,68778
"Clontarf, Dublin 3",1512.07,1412.7,1327.99,1313.39,1291,1395.14,1482.75,1559.68,1682.73,1779.22,1825.32,137487
Dublin 4,1802.37,1639.31,1564.89,1604.71,1622.25,1664.13,1747.44,1914.59,1946.53,2067.79,2262.49,60866
"Donnybrook, Dublin 4",1867.34,1595.72,1438.85,1538.03,1633.58,1613.91,1772.25,2002.66,1989.24,2086.3,2213.23,28742
"Sandymount, Dublin 4",1738.66,1731.04,1736.71,1673.19,1597.48,1730.77,1754.03,1727.43,1856.06,2118.3,2376.89,53141
"Artane, Dublin 5",1342.87,1237.75,1121.53,1080.4,1060.17,1074.09,1161.54,1211.74,1282.3,1420.6,1577.57,29175
"Killester, Dublin 5",1471.32,1295.65,1137.57,1092.46,1065.82,1118.39,1282.74,1313.95,1352.57,1516.17,1715.35,37716
Dublin 6,1514.56,1394.54,1286.08,1329.76,1383.11,1433.84,1527.6,1633.7,1715.9,1870.88,1963.53,20193
"Ranelagh, Dublin 6",1567.57,1480.34,1379.27,1423,1379.74,1480.82,1606.22,1651.17,1697.79,1791.87,1988.66,25340
"Rathgar, Dublin 6",1487.66,1385.79,1312.06,1421.03,1529.48,1497.96,1383.39,1550.31,1759.39,1992.68,1981.12,211315
Dublin 6W,1613.99,1426,1287.13,1281.42,1298.41,1356.63,1437.52,1568.42,1608.83,1695.38,1827.15,24526
"Harolds Cross, Dublin 6W",1648.68,1466.65,1319.93,1275.86,1288.37,1334.12,1402.04,1408.94,1491.29,1596.23,1793.46,63401
"Templeogue, Dublin 6W",1506.64,1320.13,1206.73,1227.87,1276.62,1289.44,1281.83,1398.36,1566.32,1686.98,1772.84,12830
"Terenure, Dublin 6W",1699.14,1493.6,1349.27,1334.06,1368.75,1444.88,1512.57,1662.56,1704.69,1837.18,1960.22,56455
Dublin 7,1216.89,1133.08,1041.47,1020.81,1043.99,1085.37,1167.84,1245.64,1315.36,1368.12,1429.77,26241
"Cabra, Dublin 7",1191.09,1109.3,997.84,972.77,959.56,1015.62,1103.98,1162.42,1217.31,1286.44,1305.26,27862
"Navan Road, Dublin 7",1310.19,1227.33,1098.2,1042.76,1103.23,1145.06,1190.36,1346.07,1467.98,1545.51,1597.24,114856
Dublin 8,1377.24,1205.42,1067.92,1060.52,1089.09,1133.63,1215.21,1299.53,1404.94,1482.34,1546.89,25763
Dublin 9,1369.89,1251.92,1137.92,1112.4,1132.38,1163.63,1247.28,1344.19,1444.26,1541.36,1645.42,63758
"Beaumont, Dublin 9",1336.68,1224.14,1102.31,1079.17,1084.55,1130.88,1241.73,1333.4,1438.43,1524.58,1644.94,25335
"Whitehall, Dublin 9",1411.22,1299.55,1140.25,1134.41,1148.1,1119.88,1216.94,1390.97,1478.94,1557.27,1612.22,10773
"Ballyfermot, Dublin 10",1221.14,1118.59,994.5,930.18,908.68,909.74,938.21,1010.45,1103.76,1178,1253.54,150304
Dublin 11,1298.54,1172.01,1035.25,988.28,1003.64,1010.64,1087.35,1189.89,1291.63,1385.56,1443.45,50374
"Finglas, Dublin 11",1202.68,1110.15,984.19,923.15,914.67,945.43,1010.71,1085.94,1188.26,1296.58,1359.58,37472
"Glasnevin, Dublin 11",1507.97,1299.84,1123.16,1078.95,1112.06,1129.39,1247.73,1334.1,1443.5,1497.95,1600.48,54961
Dublin 12,1321.82,1171.21,1049.99,1034.93,1049.78,1073.23,1132.25,1235.36,1304.15,1393.55,1483.54,29982
"Crumlin, Dublin 12",1305.86,1136.31,1008.85,981.35,1018.67,1042.61,1068.54,1182.11,1284.4,1368,1445.97,18893
"Drimnagh, Dublin 12",1293.31,1158.87,1025.94,981.42,979.27,982.41,1080.35,1182.03,1266.16,1350.29,1394.79,13578
"Kimmage, Dublin 12",1365.74,1256.28,1109.86,1129.71,1162.51,1241.53,1342.23,1498,1522.95,1542.9,1576.94,7904
"Walkinstown, Dublin 12",1384.31,1171.41,1068.14,1024.51,1060,1030.37,1136.22,1233.08,1297.78,1404.39,1539.19,24590
Dublin 13,1350.8,1238.33,1116.02,1099.25,1110.66,1138.67,1243.11,1366.69,1503.25,1587.69,1651.78,26799
"Baldoyle, Dublin 13",1465.13,1323.55,1168.17,1096.67,1105.12,1102.78,1180,1274.86,1420.79,1438.02,1553.17,15321
Dublin 14,1701.33,1564.88,1426.45,1403.7,1437.58,1528.59,1610.42,1701.74,1868.78,2000.86,2096.93,16794
"Churchtown, Dublin 14",1752.97,1503.12,1386.93,1383.75,1450.87,1501.12,1585.96,1625.37,1696.33,1871.85,2054.55,26551
"Clonskeagh, Dublin 14",1866.46,1755.81,1606.07,1537.68,1615.4,1714.06,1807.32,1865.64,2097.66,2246.25,2342.18,24562
"Goatstown, Dublin 14",1932.97,1807.24,1660.95,1610.14,1620.64,1782.91,1888.18,1923.03,2086.07,2206.94,2170.76,23033
Dublin 15,1276.96,1172.54,1056.65,1012.77,1008.63,1032.82,1089.51,1178.97,1271.4,1344.46,1437.91,38055
"Blanchardstown, Dublin 15",1220.41,1142.24,1026.15,966.13,957.95,966.52,1015.72,1095.78,1186.9,1287.89,1345.97,71552
"Carpenterstown, Dublin 15",1290,1199.9,1080.85,1041.15,1034.02,1052.17,1136.75,1229.08,1287.31,1390.92,1460.24,31309
"Clonee, Dublin 15",1238.37,1139.64,1058.25,1024.8,1006.17,1027.6,1085.43,1164.87,1266.04,1314.89,1381.92,15875
"Clonsilla, Dublin 15",1291.68,1174.95,1049.77,1003.6,1005.27,1028.53,1083.16,1175.52,1245.85,1324.17,1458.26,27925
"Tyrrelstown, Dublin 15",1295.38,1189.8,1050,1025.18,1028.17,1039.65,1094.28,1193.27,1243.94,1274.59,1371.61,15147
Dublin 16,1474.31,1346.42,1227.99,1195.95,1212.14,1274.47,1356.61,1472.68,1600.58,1652.02,1738.17,19534
"Dundrum, Dublin 16",1638.95,1482.06,1403.41,1342.03,1383.74,1456.8,1519.27,1906.25,1988.02,1960.52,2040.53,10929
"Knocklyon, Dublin 16",1412.16,1292.07,1167.62,1128.64,1145.3,1216.42,1330.33,1410.08,1473.17,1569.04,1718.05,13231
"Rathfarnham, Dublin 16",1495.45,1369.38,1217.1,1205.54,1227.16,1305.61,1385.31,1459.56,1588.81,1632.64,1732.65,110347
Dublin 18,1608.85,1457.28,1335.86,1301.01,1374.21,1412.59,1483.45,1602.19,1736.1,1828.1,1937.89,14859
"Cabinteely, Dublin 18",1509.4,1390.79,1236.04,1248.71,1336.64,1365.48,1454.97,1547.5,1674.7,1776.95,1909.25,32991
"Foxrock, Dublin 18",1934.63,1682.11,1556.82,1414.42,1542.64,1559.09,1621.61,1786.95,1967.63,2050.85,2184.75,6170
"Leopardstown, Dublin 18",1576,1414.49,1284.02,1266.04,1330.15,1405.84,1490.97,1617.24,1718.21,1830.9,1975,28742
"Sandyford, Dublin 18",1563.58,1411.92,1290.05,1285.89,1317.68,1337.64,1401.43,1541.62,1709.1,1802.65,1795.71,13005
Dublin 20,1290.92,1167.77,1066.52,1018.49,987.85,1015.76,1059.16,1152.75,1316.29,1364.45,1449.88,14580
"Palmerstown, Dublin 20",1285.34,1160.48,1061.17,993.18,965.59,1007.55,1056.46,1139.46,1297.24,1358.09,1445.37,60624
"Clondalkin, Dublin 22",1195.46,1089.33,973.23,939.25,930.32,939.95,1005.98,1078.21,1139.48,1209.58,1291.54,13065
Dublin 24,1282.39,1159.17,1043.44,995.62,982.61,995.87,1058.86,1147.86,1228.67,1304.98,1402,34326
"Ballycullen, Dublin 24",1414.78,1276.89,1139.46,1094.85,1092.78,1077.54,1192.98,1317.02,1370.88,1514.14,1589.12,13233
Galway,893.48,822.39,766.78,758.32,769.86,759.59,788.32,834.95,876.12,934.12,997.94,7527
"Athenry, Galway",719.25,652.58,584.08,571.67,566.31,586.04,611.72,663.34,707.94,782.12,892.27,84170
"Ballinasloe, Galway",669.66,584.27,553.61,512.74,499.61,489.96,499.03,520.57,556.16,600.23,642.39,34645
"Ballybane, Galway",791.75,742.78,750.53,834.54,839.69,851.37,913.21,930.88,890.07,1013.59,976.07,28313
"Ballybrit, Galway",874.32,815.35,768.24,749.58,746.18,754.16,794.82,819.42,884.12,1000.75,1079.69,39838
"Doughiska, Galway",975.51,848.45,787.46,782.91,790.06,789.22,815.18,863.68,931.2,1030.07,1087.23,22592
"Gort, Galway",1093.47,959.15,895.66,860.71,878.45,764.53,789.26,572.4,611.49,638.52,695.65,13551
"Headford, Galway",903.15,830.48,793.57,813.54,866.39,857.95,837.48,907.73,903.58,952.97,1082.91,9691
"Knocknacarra, Galway",909.67,873.88,805.25,787.03,797.93,817.09,861.94,912.01,994.91,1050.23,1090.96,5727
"Loughrea, Galway",638.2,567.59,516.2,500.02,498.48,500.71,505.35,556.26,644.47,707.26,751.05,17337
"Newcastle, Galway",1074.64,1007.78,964.94,929.77,999.19,1022.7,1099.07,1074.31,1138.37,1158.79,1272.64,20040
"Oranmore, Galway",850.6,822.74,751.96,730.81,743,737.71,747.96,815.83,867.96,942.33,1005.73,11137
"Rahoon, Galway",961.36,894.05,828.05,796.6,810.11,812.77,839.59,873.52,944.25,992.43,1103.75,11579
"Renmore, Galway",937.5,873.54,793.24,775.12,757.64,768.47,820.97,850.12,909.67,1049.22,1131.23,19258
"Roscam, Galway",943.72,933.99,878.93,852.62,859.26,866.86,897.31,932.21,1009.5,1090.69,1189.64,18511
"Salthill, Galway",1041.05,982.71,894.07,842.53,867.2,925.2,947.81,967.65,1116.81,1159.61,1173.34,189000
"Tuam, Galway",642.64,602.22,537.83,513.28,499.8,500.87,511.34,546.47,590.78,663.66,740.11,17119
"Kenmare, Kerry",793.92,663.42,546.37,490.37,460.36,481.83,492.8,518.97,560.63,647.31,689.44,23577
"Killarney, Kerry",827.61,766.92,689.4,655.22,632.09,636.74,660.28,685.62,716.54,765.57,820.99,52792
"Listowel, Kerry",625.23,567.84,525.87,492.96,471.92,476.1,495.23,500.59,513.24,536.72,576.1,23097
Kildare,1079.07,978.48,873.28,837.36,824.69,830.48,875.89,955.46,1036.8,1105.23,1166.65,9906
Kildare Town,956.51,845.53,766.98,750.67,751.02,752.65,790.52,844.68,914.75,1009.88,1083.84,20325
"Celbridge, Kildare",1143.66,1046.84,949.99,907.53,899.69,916.05,988.4,1088.11,1169.58,1233.06,1272.63,10971
"Clane, Kildare",1105.21,981.74,849.64,811.06,810.27,846.68,905.83,978.01,1088.71,1130.34,1188.96,14240
"Kilcullen, Kildare",957.6,905.83,830.19,763.77,745.66,771.71,812.98,852.88,926.25,981.59,1076.4,7371
"Leixlip, Kildare",1183.42,1088.02,975.35,963.38,945.46,948.77,1027.19,1148.39,1219.78,1260.56,1291.59,9602
"Maynooth, Kildare",1204.89,1119.84,1022.89,1001.49,978.22,990.29,1051.33,1171.49,1246.69,1348.97,1396.98,78127
"Naas, Kildare",1091.91,992.48,892.73,847.31,834.39,846.09,919.46,1002.12,1080.33,1169.41,1244.92,7707
"Newbridge, Kildare",1071.25,974.18,862.23,820.89,808.82,805.69,827.67,898.34,984.01,1044.45,1093.11,23860
"Sallins, Kildare",1114.82,1010.12,866.9,844.83,832.05,855,906.87,1010.29,1093.39,1156.42,1232.86,4967
Kilkenny,796.5,723.22,657.63,622.56,602.26,613.47,624.94,658.95,713.22,747.38,807.32,21248
Kilkenny City,790.09,732.12,659.66,635.73,627.87,638.85,650.87,686.41,747.68,784.41,843.49,10107
"Callan, Kilkenny",819.82,734.57,664.92,613.35,586.47,607.24,607.91,632.31,674.32,715.33,772.59,10238
Laois,715.5,649.94,573.54,553.13,544.6,539.65,557.3,601.95,662.77,716.17,772.76,42543
"Mountmellick, Laois",667.59,614.21,539.9,493.85,488.98,486.65,507.08,544.49,617.68,667.09,690.19,9758
